s3_image_path,s3_resized_image_path,s3_mask_path,caption,a1,a2,a3,a4
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000031.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000031.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000031.png,Products placed on a white ceramic plate with vase behind surrounded by pale white-yellow background.,this image may contain bottle and cosmetics,there are two bottles of hand sanitizer on a plate next to a glass of water,two bottles of lotion sit on a plate next to a glass of water,two bottles of nivea facial cleanser sitting next to a glass of water
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000032.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000032.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000032.png,Product placed on white table with golden jewels in front surrounded by a golden background.,nivea skin care products on a table,there is a woman's hand holding a bottle of nivex on a table,nivea products on a table next to a woman's hand,a collection of nivea products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000033.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000033.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000033.png,Products placed on a dark blue background surrounded by flowers  and golden coloured crafts and jewels.,this image may contain bottle and cosmetics,"bottles of body wash, lotion, and lotion sitting on a table with confetti",a table with bottles of lotion on it,an assortment of nivea products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000034.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000034.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000034.png,Products placed on a golden background with fancy pink coloured paper crafts.,this is the product that will be available in the store.,there is a bottle of nivex and a bottle of body lotion on a table,nivea products are displayed on a blue table,a display of nivea products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000035.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000035.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000035.png,Products placed on dark blue background with festive lamps around.,"a range of beauty products from [ unused0 ], [ unused0 ], [ unused0",there are many different types of skin care products on a table,a bunch of different kinds of lotions and soaps sitting on top of a table,a display of various nivea products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000036.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000036.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000036.png,Products placed on a golden coloured table with flowers hanging behind in a dark blue background.,a selection of navratri products,there are many different types of skin care products displayed on a table,a bunch of bottles of lotions and shampoos sitting on top of a table,several bottles of nivea skin care products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000037.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000037.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000037.png,Products places on a light blue coloured table surrounded by golden ribbons with golden background.,the most trusted care products in india,this is a picture of a bottle of nivex and a box of body lotion,a bottle of nivea lotion sitting on top of a table,"a bottle of nivea shampoo, conditioner and body lotion"
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000038.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000038.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000038.png,Products placed on a light blue coloured table surrounded by festive lamps and flowers,a variety of products on a table.,there is a bottle of nivex on a table next to a candle and some other items,a bottle of nivea lotion sitting on top of a table,an assortment of nivea products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000039.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000039.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000039.png,Products placed on a golden table surrounded by a dark blue background.,this image may contain cosmetics and bottle,there is a bottle of nive action clean next to a box of deodorans and,a display of men's personal care products on a table,a bottle of nive deodorant sitting on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000040.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000040.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000040.png,Products placed on a white table with golden background with a golden ribbon placed in front.,all natural body lotion and body lotion,there is a gift box and a bottle of shampooe next to a gold gift box,a nivea gift set on a table with gold wrapping paper,a bottle of nivea body lotion sitting next to a gift box
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000041.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000041.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000041.png,Products placed on a white table with golden background surrounded by golden gift boxes with a golden ribbon placed in front.,this image may contain cosmetics and bottle,this is a picture of an assortment of nive men's care products on a table,a bunch of products on a table next to a gold ribbon,a collection of nive products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000042.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000042.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000042.png,Products placed on  sky blue background with water splashing on top and bottom.,a bottle of nivea body lotion and a splash of water,there are two bottles of nive gel with water splashing out of them,two bottles of nivea body lotion are being sprayed with water,two bottles of nivea body wash in front of a blue sky
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000043.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000043.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000043.png,Products placed on dark blue background with lamps for a festive setup.,"a range of beauty products from [ unused0 ], [ unused0 ], [ unused0",there are many different types of skin care products on a table,a display of nivea products on a table,a display of nivea products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000044.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000044.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000044.png,Products placed on a golden background with fancy pink coloured paper crafts.,a collection of skin care products on a gold background.,there is a bottle of nivex and a bottle of body lotion on a table,nivea products are displayed on a blue table,a display of nivea products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000045.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000045.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000045.png,Products placed on a white table with a golden jewel in front surrounded by a golden background.,nivea skin care products on a table,there is a person holding a bottle of nivex on a table,nivea products are displayed on a table,a collection of nivea products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000046.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000046.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000046.png,"Products placed on golden wraps surrounded by golden gift box with a golden background,",a selection of products on a table with gold wrapping paper.,"there is a gold gift box, a bottle of shampoo, and a bottle of lotion",a bunch of products on a table next to a gold box,a bottle of nivea body lotion on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000047.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000047.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000047.png,Products placed on golden gift boxes with flowers hanging on the dark blue background.,a selection of navratri products,there are many different types of skin care products displayed on a table,a bunch of bottles of lotions and shampoos sitting on top of a table,several bottles of nivea skin care products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000048.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000048.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000048.png,Products placed on a blue background with golden fence.,nivea men's products on a table,there are many different types of skin care products displayed on a table,a display of nivea men products on a table,a collection of nivea men products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000049.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000049.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000049.png,Products placed on a blue background surrounded by gift boxes and flowers.,a selection of nivea products on a blue background.,there are many different types of skin care products on a blue table,a blue table with various products on it,an assortment of nivea products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000050.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000050.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000050.png,Products placed on a table with flowers in front in a background of crackers and lamps.,a collection of nivea body products,there is a bottle of nivea body lotion next to a bowl of flowers and a,a display of nivea products on a table,several bottles of nivea products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000051.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000051.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000051.png,Products placed on a table covered with white cloth screen.,a bottle of nivea body lotion and a bottle of body milk on a white background,there are two bottles of nivea body lotion on a white cloth,a bottle of nivea body milk and a bottle of nivea body milk,two bottles of nivea body wash on a white cloth
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000052.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000052.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000052.png,Products placed on wooden table  surround by light pinkish cloth with glittering golden background.,a bottle of nivea body lotion,there is a bottle of nivea body milk next to a container of body butter,a bottle of nivea body milk and a bottle of nivea cream,a bottle of nivea body cream sitting next to a container of nivea body cream
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000053.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000053.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000053.png,"A product placed on white clothy background with sunglasses, gold rings and leaf shadows around it.",this image may contain sunglasses accessories accessory and cosmetics,"there is a straw hat, sunglasses, and a bottle of lotion on a bed","a straw hat, sunglasses and a bottle of water","a bottle of sunscreen, sunglasses and a straw hat"
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000054.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000054.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000054.png,Products placed on fur with brown sweater on left side and surrounded by glittering golden background.,nivea body wash products on a table in front of a window with lights in the background,there is a bottle of nivea body milk and a bottle of soft cream on a table,three bottles of nivea products sit on top of a blanket,"a bottle of body wash, a bottle of lotion and a bottle of shampoo"
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000055.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000055.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000055.png,Product placed on a pinkish fur background.,a woman holding a cream in her hands.,there is a person holding a jar of soft cream in their hand,a person holding a container of cream on a bed,a person holding a jar of lotion in their hands
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000056.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000056.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000056.png,Products placed  on a wooden table surrounded by clothes and ropes surrounded by glittering golden background.,a variety of products on a table.,"there is a bottle of nivea body lotion, a bottle of face wash, and",a collection of nivea products on a wooden table,a bottle of nivea body lotion next to a bottle of nivea deodorant
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000057.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000057.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000057.png,Products placed on white icy floor surrounded by frozen trees on blue background.,a range of products on a snowy background.,there is a bottle of nivex and a bottle of deodorant on a table,a group of products that are sitting on top of a table,a display of nivea products on a blue background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000058.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000058.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000058.png,Products placed on white icy floor surrounded by frozen trees on blue background.,nivea all natural body lotion,this is a picture of a bottle of nivea on a table,a bottle of nivea body wash and a bottle of nivea shaving cream,a bottle of body wash next to a bottle of shampoo
